id,type,name,classification
175214010,barangay,Calubayan,rural
175214012,barangay,Leuteboro I,rural
175214013,barangay,Leuteboro II,rural
175214014,barangay,Mabuhay I,rural
175214015,barangay,Malugay,rural
175214016,barangay,Matungao,rural
175214017,barangay,Monteverde,urban
175214018,barangay,Pasi I,rural
175214019,barangay,Pasi II,urban
175214020,barangay,Zone I (Pob.),urban
175214021,barangay,Zone II (Pob.),rural
175214022,barangay,Zone III (Pob.),rural
175214023,barangay,Zone IV (Pob.),urban
175214024,barangay,Santo Domingo (Lapog),rural
175214025,barangay,Subaan,rural
175214027,barangay,Bugtong Na Tuog,rural
175214028,barangay,Mabuhay II,urban
175214029,barangay,Ma. Concepcion,rural
175215000,municipality,Victoria,
175215001,barangay,Alcate,rural
175215002,barangay,Babangonan,urban
175215003,barangay,Bagong Silang,rural
175215004,barangay,Bagong Buhay,rural
175215005,barangay,Bambanin,rural
175215006,barangay,Bethel,rural
175215007,barangay,Canaan,rural
175215008,barangay,Concepcion,rural
175215009,barangay,Duongan,rural
175215010,barangay,Loyal,rural
175215011,barangay,Mabini,urban
175215012,barangay,Macatoc,urban
175215013,barangay,Malabo,rural
175215015,barangay,Merit,rural
175215016,barangay,Ordovilla,rural
175215017,barangay,Pakyas,rural
175215018,barangay,Poblacion I,urban
175215019,barangay,Poblacion II,rural
175215020,barangay,Poblacion III,urban
175215021,barangay,Poblacion IV,urban
175215027,barangay,Sampaguita,rural
175215028,barangay,San Antonio,rural
175215029,barangay,San Gabriel,urban
175215030,barangay,San Gelacio,rural
175215031,barangay,San Isidro,rural
175215032,barangay,San Juan,rural
175215033,barangay,San Narciso,rural
175215034,barangay,Urdaneta,rural
175215035,barangay,Villa Cerveza,rural
175215036,barangay,Jose Leido Jr.,rural
175215037,barangay,San Cristobal,rural
175215038,barangay,Antonino,rural
175300000,province,Palawan,
175301000,municipality,Aborlan,
175301001,barangay,Apo-Aporawan,rural
175301002,barangay,Apoc-apoc,rural
175301003,barangay,Aporawan,rural
175301004,barangay,Barake,rural
175301005,barangay,Cabigaan,rural
175301006,barangay,Gogognan,rural
175301007,barangay,Iraan,rural
175301008,barangay,Isaub,rural
175301009,barangay,Jose Rizal,rural
175301010,barangay,Mabini,rural
175301011,barangay,Magbabadil,rural
